epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,25533.8,0.4449,0.22727,0.83596,0.99105,0.99154,0.99494,0.77907,0.9521,0.30231,1.08205,0.002278,0.002278,0.002278
80,25855.3,0.44165,0.22544,0.83468,0.9901,0.99144,0.99494,0.77978,0.95366,0.3025,1.08322,0.002179,0.002179,0.002179
81,26175.6,0.43661,0.2222,0.83414,0.99068,0.99171,0.99496,0.77987,0.95709,0.30306,1.08273,0.00208,0.00208,0.00208
82,26501.6,0.43599,0.22329,0.83458,0.99284,0.99168,0.99497,0.77828,0.9586,0.30328,1.08452,0.001981,0.001981,0.001981
83,26824,0.43232,0.21983,0.8358,0.99299,0.99644,0.99498,0.77612,0.95976,0.30254,1.08592,0.001882,0.001882,0.001882
84,27147.5,0.4272,0.21694,0.83618,0.99099,0.997,0.99496,0.77839,0.95861,0.29968,1.08599,0.001783,0.001783,0.001783
85,27463.7,0.4192,0.21309,0.83259,0.98922,0.99748,0.99496,0.77443,0.96096,0.30149,1.08744,0.001684,0.001684,0.001684
86,27784.2,0.41442,0.21289,0.82843,0.98917,0.99738,0.99496,0.77403,0.96126,0.30132,1.08938,0.001585,0.001585,0.001585
87,28104.9,0.41359,0.21343,0.8296,0.99162,0.99401,0.99496,0.77324,0.96297,0.30413,1.09199,0.001486,0.001486,0.001486
88,28426.7,0.40753,0.20987,0.83282,0.99001,0.99509,0.99496,0.77685,0.96451,0.30406,1.09509,0.001387,0.001387,0.001387
89,28750.4,0.40828,0.20795,0.82684,0.98729,0.99476,0.99496,0.77652,0.96587,0.30286,1.09809,0.001288,0.001288,0.001288
90,29074.3,0.40289,0.20626,0.82957,0.98669,0.99476,0.99496,0.77586,0.96558,0.30317,1.09893,0.001189,0.001189,0.001189
91,29414.7,0.35619,0.16848,0.80803,0.98647,0.99476,0.99496,0.77447,0.96319,0.30307,1.09816,0.00109,0.00109,0.00109
92,29738.7,0.34693,0.16542,0.80467,0.98703,0.99492,0.99496,0.77606,0.96063,0.30323,1.09715,0.000991,0.000991,0.000991
93,30060.1,0.34251,0.16181,0.80542,0.98694,0.99491,0.99498,0.77445,0.95902,0.30282,1.09678,0.000892,0.000892,0.000892
94,30381.1,0.33679,0.15976,0.80333,0.98602,0.99508,0.99498,0.77326,0.95873,0.30345,1.09814,0.000793,0.000793,0.000793
95,30702.5,0.33073,0.15636,0.80136,0.98587,0.99513,0.99498,0.77423,0.95811,0.30422,1.09954,0.000694,0.000694,0.000694
96,31025,0.32823,0.15551,0.80181,0.98544,0.99564,0.99498,0.77543,0.95746,0.30418,1.09949,0.000595,0.000595,0.000595
97,31349.7,0.32228,0.15355,0.79757,0.98521,0.99593,0.99498,0.77486,0.95772,0.30553,1.10039,0.000496,0.000496,0.000496
98,31677.2,0.32118,0.15266,0.79894,0.98528,0.99596,0.99498,0.77434,0.95815,0.30635,1.10167,0.000397,0.000397,0.000397
99,32003.9,0.31321,0.14907,0.79615,0.98539,0.99598,0.99498,0.7741,0.95868,0.30738,1.10305,0.000298,0.000298,0.000298
100,32325.3,0.31152,0.1477,0.79691,0.98524,0.99602,0.99498,0.77491,0.95884,0.3076,1.10379,0.000199,0.000199,0.000199
